REC,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,HY_1,HY_2,HY_3,HY_4
1,FM0973-KG,29.958000000000002,30.539,FM0973,FM,973,14,227,2100,4,4,55,4,2,26,2019,23463,23463,5.3,1245,12,0.581,1.162,13632.003,723.345,18337,14842,9921,7724
1,FM0969-KG,0.0,0.053,FM0969,FM,969,14,227,2100,4,3,45,0,4,44,2019,19202,19202,5.6,1083,11,0.053,0.212,1017.706,57.398999999999994,16460,14992,17938,18390
1,FM0973-KG,28.735,28.745,FM0973,FM,973,14,227,0,4,4,60,40,4,90,2019,29232,29232,5.0,1466,12,0.01,0.04,292.32,14.66,16700,10647,13573,13765
1,FM0969-KG,1.031,1.23,FM0969,FM,969,14,227,2100,4,3,45,0,4,44,2019,19202,19202,5.6,1083,11,0.19899999999999998,0.7959999999999999,3821.198,215.517,16460,14992,17938,18390
1,FM0973-KG,23.129,23.135,FM0973,FM,973,14,227,2100,4,4,60,6,2,14,2019,11783,11783,6.2,736,12,0.006,0.012,70.69800000000001,4.416,10385,8867,7495,7819
1,FM0973-KG,17.994,18.043,FM0973,FM,973,14,227,26450,4,4,60,0,2,20,2019,10893,10893,7.1,777,10,0.049,0.098,533.757,38.073,10893,9800,9447,9997
1,FM0969-KG,9.561,9.566,FM0969,FM,969,14,227,0,4,5,60,0,2,26,2019,7641,7641,7.3,554,13,0.005,0.01,38.205,2.77,7570,6479,7902,7828
1,FM0973-KG,32.044000000000004,32.156,FM0973,FM,973,14,227,2100,4,4,55,5,2,24,2019,15637,15637,6.0,946,12,0.11199999999999999,0.22399999999999998,1751.344,105.95200000000001,12543,10012,7600,6211
1,FM0969-KG,6.04,6.051,FM0969,FM,969,14,227,0,4,3,50,6,3,34,2019,25892,25892,4.9,1276,11,0.011000000000000001,0.033,284.812,14.036,22033,18431,20176,19452
1,FM0973-KG,29.840999999999998,29.958000000000002,FM0973,FM,973,14,227,2100,4,4,55,4,2,25,2019,23463,23463,5.3,1245,12,0.11699999999999999,0.23399999999999999,2745.171,145.665,18337,14842,9921,7724
1,FM0973-KG,22.651999999999997,22.676,FM0973,FM,973,14,227,0,4,4,60,6,2,18,2019,11783,11783,6.2,736,12,0.024,0.048,282.79200000000003,17.664,10385,8867,7495,7819
1,FM0973-KG,18.043,18.192,FM0973,FM,973,14,227,26450,4,4,60,2,2,26,2019,10893,10893,7.1,777,12,0.149,0.298,1623.057,115.773,10893,9800,9447,9997
1,FM0969-KG,10.997,11.020999999999999,FM0969,FM,969,14,227,0,1,5,60,3,2,22,2019,5857,5857,9.1,534,11,0.024,0.048,140.56799999999998,12.815999999999999,5293,4330,5364,5111
1,FM0973-KG,23.055,23.081999999999997,FM0973,FM,973,14,227,0,4,4,60,6,2,14,2019,11783,11783,6.2,736,12,0.027000000000000003,0.054000000000000006,318.14099999999996,19.872,10385,8867,7495,7819
1,FM0973-KG,6.895,7.152,FM0973,FM,973,14,227,0,1,4,60,10,2,24,2019,7655,7655,7.7,590,12,0.257,0.514,1967.335,151.63,6794,6329,6173,5100
1,FM0969-KG,6.781000000000001,6.867000000000001,FM0969,FM,969,14,227,0,4,5,60,0,4,26,2019,24665,24665,5.0,1242,13,0.086,0.344,2121.19,106.81200000000001,22309,18885,20287,19486
1,FM0973-KG,34.783,35.199,FM0973,FM,973,14,227,0,4,4,55,5,2,24,2019,6681,6681,10.5,703,12,0.41600000000000004,0.8320000000000001,2779.296,292.448,5519,3913,3699,2304
1,FM0969-KG,6.5489999999999995,6.599,FM0969,FM,969,14,227,0,4,3,60,0,2,26,2019,24665,24665,5.0,1242,13,0.05,0.1,1233.25,62.1,22309,18885,20287,19486
1,FM0973-KG,29.441,29.444000000000003,FM0973,FM,973,14,227,2100,4,4,50,50,4,70,2019,23463,23463,5.3,1245,12,0.003,0.012,70.389,3.735,18337,14842,9921,7724
1,FM0969-KG,1.296,1.575,FM0969,FM,969,14,227,2100,4,3,50,0,4,44,2019,24322,24322,5.1,1230,11,0.27899999999999997,1.1159999999999999,6785.838000000001,343.17,17992,14403,19231,18985
1,FM0973-KG,21.71,22.155,FM0973,FM,973,14,227,0,4,4,60,6,2,14,2019,10206,10206,7.3,749,12,0.445,0.89,4541.67,333.305,10206,8368,8809,8843
1,FM0973-KG,30.956999999999997,32.044000000000004,FM0973,FM,973,14,227,2100,4,4,55,4,2,26,2019,15637,15637,6.0,946,12,1.087,2.174,16997.418999999998,1028.302,12543,10012,7600,6211
1,FM0973-KG,15.767999999999999,16.046,FM0973,FM,973,14,227,26450,2,4,60,10,2,24,2019,17287,17287,5.2,894,12,0.278,0.556,4805.786,248.532,15148,11839,11726,9561
1,FM0969-KG,14.503,14.564,FM0969,FM,969,14,227,0,1,5,60,3,2,22,2019,4613,4613,8.7,402,11,0.061,0.122,281.393,24.522,3927,2801,3743,3278
1,FM0973-KG,29.098000000000003,29.136,FM0973,FM,973,14,227,2100,4,4,50,20,4,70,2019,29232,29232,5.0,1466,12,0.038,0.152,1110.816,55.708,16700,10647,13573,13765
1,FM0969-KG,4.115,4.13,FM0969,FM,969,14,227,2100,4,3,45,4,4,56,2019,27383,27383,4.8,1319,14,0.015,0.06,410.745,19.785,20957,19365,21481,24461
1,FM0973-KG,19.687,20.596999999999998,FM0973,FM,973,14,227,0,4,4,60,6,2,18,2019,10893,10893,7.1,777,12,0.91,1.82,9912.63,707.07,10893,9800,9447,9997
1,FM0973-KG,29.24,29.269000000000002,FM0973,FM,973,14,227,2100,4,4,50,20,4,70,2019,23463,23463,5.3,1245,12,0.028999999999999998,0.11599999999999999,680.427,36.105,18337,14842,9921,7724
1,FM0969-KG,2.969,3.0239999999999996,FM0969,FM,969,14,227,2100,4,3,45,0,4,70,2019,36786,36786,1.3,488,13,0.055,0.22,2023.23,26.84,32176,25801,33430,35514
1,FM0973-KG,23.081999999999997,23.129,FM0973,FM,973,14,227,0,4,4,60,6,2,14,2019,11783,11783,6.2,736,12,0.047,0.094,553.8009999999999,34.592,10385,8867,7495,7819
1,FM0969-KG,2.335,2.336,FM0969,FM,969,14,227,2100,4,3,50,0,4,70,2019,36786,36786,1.3,488,13,0.001,0.004,36.786,0.488,32176,25801,33430,35514
1,FM0973-KG,14.45,14.747,FM0973,FM,973,14,227,26450,2,4,60,10,2,24,2019,17287,17287,5.2,894,12,0.297,0.594,5134.2390000000005,265.518,15148,11839,11726,9561
1,FM0969-KG,15.706,16.436,FM0969,FM,969,14,227,44610,1,5,60,3,2,22,2019,4435,4435,8.7,384,11,0.73,1.46,3237.55,280.32,4809,3864,4568,3435
1,FM0973-KG,33.347,33.376999999999995,FM0973,FM,973,14,227,0,4,4,55,5,2,24,2019,9860,9860,7.4,726,12,0.03,0.06,295.8,21.78,8093,6468,5154,3508
1,FM0969-KG,2.484,2.7119999999999997,FM0969,FM,969,14,227,2100,4,3,45,0,4,70,2019,36786,36786,1.3,488,13,0.228,0.912,8387.208,111.264,32176,25801,33430,35514
1,FM0973-KG,28.807,28.914,FM0973,FM,973,14,227,2100,4,4,60,30,4,90,2019,29232,29232,5.0,1466,12,0.107,0.428,3127.824,156.862,16700,10647,13573,13765
1,FM0969-KG,0.33299999999999996,0.6659999999999999,FM0969,FM,969,14,227,2100,4,3,45,0,4,44,2019,19202,19202,5.6,1083,11,0.33299999999999996,1.3319999999999999,6394.266,360.639,16460,14992,17938,18390
