ID,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,top10,Corridor_ID,Shape_Length
92,IH0610-KG,11.829,11.867,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,195292,195292,5.7,11212,12,0.038,0.304,7421.096,426.056,6,3,0.038105
93,IH0610-KG,11.867,12.227,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,195292,195292,5.7,11212,12,0.36,2.88,70305.12,4036.32,6,4,0.360574
94,IH0610-KG,12.227,12.945,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,195292,195292,5.7,11212,12,0.718,8.616,140219.656,8050.215999999999,6,5,0.719191
95,IH0610-KG,12.945,12.950999999999999,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,195292,195292,5.7,11212,12,0.006,0.07200000000000001,1171.752,67.27199999999999,6,6,0.006012
96,IH0610-KG,12.950999999999999,13.276,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,195292,195292,5.7,11212,12,0.325,3.9,63469.9,3643.9,6,7,0.32555100000000003
97,IH0610-KG,13.276,13.654000000000002,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,180951,180951,9.3,16839,12,0.37799999999999995,4.5360000000000005,68399.478,6365.142,6,8,0.3787
98,IH0610-KG,13.654000000000002,15.706,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,180951,180951,9.3,16839,12,2.052,16.416,371311.45200000005,34553.628,6,9,2.0554740000000002
99,IH0610-KG,15.706,17.694000000000003,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,198443,198443,8.9,17624,12,1.9880000000000002,15.904000000000002,394504.684,35036.512,6,10,1.991442
100,IH0610-KG,17.694000000000003,17.785,IH0610,IH,610,12,102,19750,4,1,60,44,8,96,2019,198443,198443,8.9,17624,12,0.091,0.728,18058.313000000002,1603.7839999999999,6,11,0.09115
101,IH0610-KG,17.785,17.84,IH0610,IH,610,12,102,19750,4,1,60,44,8,96,2019,198443,198443,8.9,17624,12,0.055,0.44,10914.365,969.32,6,12,0.05507000000000001
