Crash_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Dfo,Street_Name,Onsys_Fl,Rural_Fl,Shldr_Width_Left,Shldr_Width_Right,Median_Width,Nbr_Of_Lane,Func_Sys_ID,Curve_Type_ID
15332931,101,208,29.73168081,-95.34212534,IH,45,44.57,IH0045,Y,N,0,24,20,8,11,1
15333153,101,208,29.72868242,-95.33779041,IH,45,44.238,IH0045,Y,N,0,24,20,8,11,0
15333391,101,208,29.72790857,-95.33659538,IH,45,44.148999999999994,IH0045,Y,N,0,24,20,8,11,0
15334253,101,208,29.70235398,-95.29603647,IH,45,41.145,IH0045,Y,N,0,24,20,8,11,0
15334367,101,208,29.71685369,-95.31806619,IH,45,42.801,IH0045,Y,N,0,24,20,6,11,0
15335503,101,208,29.75084031,-95.37341278,IH,45,46.87,IH0045,Y,N,0,22,3,8,11,0
15336085,101,208,29.73628044,-95.34848338,IH,45,45.066,IH0045,Y,N,0,24,6,6,11,0
15336279,101,208,29.7150859,-95.31530083,IH,45,42.595,IH0045,Y,N,0,24,20,8,11,0
15336287,101,208,29.71513311,-95.31537468,IH,45,42.601000000000006,IH0045,Y,N,0,24,20,8,11,0
15336609,101,208,29.73455405,-95.34581414,IH,45,44.867,IH0045,Y,N,0,24,6,6,11,0
15336611,101,208,29.73469497,-95.34600609,IH,45,44.882,IH0045,Y,N,0,24,6,6,11,0
15336612,101,208,29.709188800000003,-95.30642653,IH,45,41.926,IH0045,Y,N,0,24,20,8,11,0
15336617,101,208,29.73481072,-95.3461813,IH,45,44.895,IH0045,Y,N,0,24,6,6,11,0
15337005,101,208,29.73577956,-95.34769359,IH,45,45.008,IH0045,Y,N,0,24,6,6,11,1
15337018,101,208,29.73548415,-95.34722959,IH,45,44.973,IH0045,Y,N,0,24,6,6,11,1
15337535,101,208,29.75933656,-95.3743517,IH,45,47.475,IH0045,Y,N,0,22,3,8,11,1
15338641,101,208,29.7264085,-95.33427877,IH,45,43.976000000000006,IH0045,Y,N,0,24,20,8,11,0
15338677,101,208,29.73721928,-95.34996378,IH,45,45.176,IH0045,Y,N,0,24,6,6,11,0
15339959,101,208,29.74658076,-95.36655906,IH,45,46.365,IH0045,Y,N,20,20,28,8,11,1
15340285,101,208,29.74147955,-95.3566055,IH,45,45.67100000000001,IH0045,Y,N,0,24,6,6,11,0
15340288,101,208,29.69749644,-95.28910965,IH,45,40.611,IH0045,Y,N,24,20,22,8,11,0
15340365,101,208,29.74299207,-95.35909175,IH,45,45.852,IH0045,Y,N,0,24,6,6,11,0
15340546,101,208,29.7572222,-95.37470189,IH,45,47.328,IH0045,Y,N,0,22,3,8,11,0
15343101,101,208,29.76914867,-95.36555675,IH,45,48.375,IH0045,Y,N,0,20,26,8,11,0
15343438,101,208,29.75889505,-95.37447854,IH,45,47.443999999999996,IH0045,Y,N,0,22,3,8,11,1
15343785,101,208,29.70042209,-95.29301239,IH,45,40.92,IH0045,Y,N,0,24,20,8,11,0
15343811,101,208,29.73539654,-95.3470932,IH,45,44.963,IH0045,Y,N,0,24,6,6,11,1
15344362,101,208,29.70217837,-95.29576318,IH,45,41.125,IH0045,Y,N,0,24,20,8,11,0
15344393,101,208,29.702034100000002,-95.29553844,IH,45,41.108000000000004,IH0045,Y,N,0,24,20,8,11,0
15344400,101,208,29.73560564,-95.34741935,IH,45,44.986999999999995,IH0045,Y,N,0,24,6,6,11,1
15344425,101,208,29.73560564,-95.34741935,IH,45,44.986999999999995,IH0045,Y,N,0,24,6,6,11,1
15344430,101,208,29.72787856,-95.33654929,IH,45,44.145,IH0045,Y,N,0,24,20,8,11,0
15345032,101,208,29.70549958,-95.30093181,IH,45,41.51,IH0045,Y,N,0,24,20,8,11,0
15346362,101,208,29.71746586,-95.31909126,IH,45,42.876000000000005,IH0045,Y,N,0,24,20,6,11,0
15346831,101,208,29.70633199,-95.30219100000001,IH,45,41.605,IH0045,Y,N,0,24,20,8,11,0
15348780,101,208,29.70633449,-95.30219468,IH,45,41.605,IH0045,Y,N,0,24,20,8,11,0
15349065,101,208,29.73929208,-95.35322309,IH,45,45.418,IH0045,Y,N,0,24,6,6,11,0
15349167,101,208,29.70214597,-95.29571275,IH,45,41.121,IH0045,Y,N,0,24,20,8,11,0
15349249,101,208,29.70638069,-95.30226286,IH,45,41.61,IH0045,Y,N,0,24,20,8,11,0
15349289,101,208,29.76340785,-95.37010693,IH,45,47.873000000000005,IH0045,Y,N,0,20,3,10,11,1
15350278,101,208,29.71654193,-95.3175785,IH,45,42.765,IH0045,Y,N,0,24,20,8,11,0
15350325,101,208,29.73383287,-95.34485079,IH,45,44.791000000000004,IH0045,Y,N,0,24,6,6,11,0
15350469,101,208,29.70252286,-95.29629929,IH,45,41.165,IH0045,Y,N,0,24,20,8,11,0
15350739,101,208,29.70209303,-95.29563036,IH,45,41.115,IH0045,Y,N,0,24,20,8,11,0
15351962,101,208,29.75720267,-95.37470178,IH,45,47.326,IH0045,Y,N,0,22,3,8,11,0
15352778,101,208,29.71513748,-95.31538391,IH,45,42.601000000000006,IH0045,Y,N,0,24,20,8,11,0
15352811,101,208,29.73113324,-95.34141929,IH,45,44.513999999999996,IH0045,Y,N,0,24,20,8,11,1
15353011,101,208,29.70185422,-95.29525657,IH,45,41.086999999999996,IH0045,Y,N,0,24,20,8,11,0
15353475,101,208,29.73987573,-95.35412793,IH,45,45.486000000000004,IH0045,Y,N,0,24,6,6,11,0
15353476,101,208,29.73641764,-95.34869973,IH,45,45.082,IH0045,Y,N,0,24,6,6,11,0
15354518,101,208,29.73561944,-95.34744109,IH,45,44.989,IH0045,Y,N,0,24,6,6,11,1
